product_id,name,rating,price,reviews,category,subcategory,weight
0,"Drill America - DWT54027 #0-80 UNF High Speed Steel Bottoming Tap, (Pack of 1) <script>alert('Did you think about XSS and SQL injection?')</script>",4.6,2.63,842,Industrial & Scientific,Cutting Tools,842
1,"Google Nest Cam Indoor Wired Home Security Camera 24/7 Live Video, 1080p HD, Wifi, Night Vision, 2-Way Talk, Mobile…",4.5,128.58,9684,Electronics,Camera & Photo,9684
2,"VANKYO Gaming Headset CM7000 with Authentic 7.1 Surround Sound Stereo PS4 Headset, Gaming Headphones with Noise…",4.4,29.99,11397,Video Games,More Systems,11397
3,Infinno Inflatable Tummy Time Mat Premium Baby Water Play Mat for Infants and Toddlers Baby Toys for 3 to 24 Months…,4.3,14.97,1352,Baby,Activity & Entertainment,1352
4,Weddingstar Adult Washable Cloth Face Mask Reusable and Adjustable Fabric Face Cover w/Dust Filter Pocket - Black,4.2,6.99,2917,Health & Household,Medical Supplies & Equipment,2917
5,Knit Picks Yarn Ball Winder,4.5,18.99,3287,"Arts, Crafts & Sewing",Knitting & Crochet,3287
6,"Camco Do It Yourself Boat Winterizer- Quickly Winterize Marine Engines, Allows Flushing and Preparation of Boat Engine…",4.5,41.91,1586,"Patio, Lawn & Garden","Pools, Hot Tubs & Supplies",1586
7,"ZuPreem FruitBlend Flavor Pellets Bird Food for Parrots and Conures | Powerful Pellets Made in USA, Naturally Flavored…",4.8,17.59,2511,Pet Supplies,Birds,2511
8,"National Geographic Road Atlas 2021: Adventure Edition [United States, Canada, Mexico]",4.8,19.29,2722,Books,Sports & Outdoors,2722
9,"114 pcs Pegboard Hooks Assortment with Metal Hooks Sets, Pegboard Bins, Peg Locks for Organizing Storage System Tools",4.3,16.99,2837,Industrial & Scientific,Industrial Hardware,2837
10,Sinatra At The Sands [2 LP],4.8,26.49,1041,CDs & Vinyl,Broadway & Vocalists,1041
11,"Brawny Tear-A-Square Paper Towels, 12 = 24 Regular Rolls, 3 Sheet Size Options, Quarter Size Sheets, 12 Count, 12 Count…",4.8,37.95,9718,Home & Kitchen,Cleaning Supplies,9718
12,"Coceca Hardware Nail Assortment Kit 200pcs, Galvanized Nails, 4 Size Assortment",4.7,4.99,3627,Industrial & Scientific,Fasteners,3627
13,"MANSCAPED™ Electric Groin Hair Trimmer, The Lawn Mower™ 3.0, Replaceable Ceramic Blade Heads, Waterproof Wet / Dry…",4.5,69.99,16637,Beauty & Personal Care,Tools & Accessories,16637
14,"RockJam Portable Keyboard (RJX29),Black",4.7,30.96,11012,Musical Instruments,Instrument Accessories,11012
15,"Zollipops The Clean Teeth Pops, Anti Cavity 25 Count Lollipops, Delicious Assorted Flavors, 5.2 Ounce , 25 Count",4.6,5.97,4663,Grocery & Gourmet Food,Candy & Chocolate,4663
16,"4M 5557 Crystal Growing Science Experimental Kit - Easy DIY Stem Toys Lab Experiment Specimens, A Great Educational Gift…",4.3,21.92,6549,Toys & Games,Learning & Education,6549
17,Minecraft - PlayStation 3 Edition,4.6,34.99,1654,Video Games,PlayStation 3,1654
18,Fast (1kg) ABS-Like Fast Curing Non-Brittle 3D Printing Resin (Smoky Black),4.7,29.99,647,Industrial & Scientific,Additive Manufacturing Products,647
19,"Olympia Tools 85-180 Folding & Rolling Flatbed Cart for Loading, Olive Green with Blue Bumper, 300 Lb. Load Capacity",4.4,39.80,2268,"Patio, Lawn & Garden",Outdoor Storage,2268
20,"Non-Contact Thermometer for Adults and Kid,No Touch Infrared Forehead Thermometer for Fever, Smart Temperature Gun…",4.6,25.99,2331,Industrial & Scientific,"Test, Measure & Inspect",2331
21,"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",4.6,168.97,3227,Electronics,Monitors,3227
22,"Barbie Dreamtopia Rainbow Lights Mermaid Doll, Blonde with Light-up Tail",4.7,19.96,11682,Toys & Games,Dolls & Accessories,11682
23,The Elder Scrolls: The Official Cookbook,4.9,17.37,3128,Books,Computers & Technology,3128
24,"EvridWear Boys Girls Magic Stretch Gripper Gloves 3 Pair Pack Assortment, Kids One Size Winter Warm Gloves Children",4.6,10.99,1029,"Clothing, Shoes & Jewelry",Boys,1029
