timestamp_id,year,month,day,hour,minute,second,quarter,weekday,isotime,weight
0,2015,Nov,8,0,54,24,4,Sun,2015-11-08T00:54:24,207495
1,2015,Nov,8,1,48,56,4,Sun,2015-11-08T01:48:56,147552
2,2015,Nov,8,2,26,2,4,Sun,2015-11-08T02:26:02,156774
3,2015,Nov,8,3,16,32,4,Sun,2015-11-08T03:16:32,156774
4,2015,Nov,8,4,31,25,4,Sun,2015-11-08T04:31:25,129108
5,2015,Nov,8,5,58,50,4,Sun,2015-11-08T05:58:50,165996
6,2015,Nov,8,6,53,19,4,Sun,2015-11-08T06:53:19,248994
7,2015,Nov,8,7,30,22,4,Sun,2015-11-08T07:30:22,308937
8,2015,Nov,8,8,37,57,4,Sun,2015-11-08T08:37:57,364269
9,2015,Nov,8,9,58,13,4,Sun,2015-11-08T09:58:13,391935
10,2015,Nov,8,10,32,8,4,Sun,2015-11-08T10:32:08,396546
11,2015,Nov,8,11,18,8,4,Sun,2015-11-08T11:18:08,461100
12,2015,Nov,8,12,48,6,4,Sun,2015-11-08T12:48:06,428823
13,2015,Nov,8,13,39,51,4,Sun,2015-11-08T13:39:51,414990
14,2015,Nov,8,14,16,58,4,Sun,2015-11-08T14:16:58,424212
15,2015,Nov,8,15,34,45,4,Sun,2015-11-08T15:34:45,382713
16,2015,Nov,8,16,51,38,4,Sun,2015-11-08T16:51:38,382713
17,2015,Nov,8,17,57,9,4,Sun,2015-11-08T17:57:09,304326
18,2015,Nov,8,18,19,6,4,Sun,2015-11-08T18:19:06,299715
19,2015,Nov,8,19,46,4,4,Sun,2015-11-08T19:46:04,281271
20,2015,Nov,8,20,57,54,4,Sun,2015-11-08T20:57:54,331992
21,2015,Nov,8,21,43,21,4,Sun,2015-11-08T21:43:21,313548
22,2015,Nov,8,22,30,35,4,Sun,2015-11-08T22:30:35,253605
23,2015,Nov,8,23,6,22,4,Sun,2015-11-08T23:06:22,230550
24,2015,Nov,9,0,27,20,4,Mon,2015-11-09T00:27:20,238500
25,2015,Nov,9,1,39,40,4,Mon,2015-11-09T01:39:40,169600
26,2015,Nov,9,2,58,13,4,Mon,2015-11-09T02:58:13,180200
27,2015,Nov,9,3,35,30,4,Mon,2015-11-09T03:35:30,180200
28,2015,Nov,9,4,28,55,4,Mon,2015-11-09T04:28:55,148400
29,2015,Nov,9,5,33,16,4,Mon,2015-11-09T05:33:16,190800
30,2015,Nov,9,6,3,51,4,Mon,2015-11-09T06:03:51,286200
31,2015,Nov,9,7,58,35,4,Mon,2015-11-09T07:58:35,355100
32,2015,Nov,9,8,58,0,4,Mon,2015-11-09T08:58:00,418700
33,2015,Nov,9,9,5,46,4,Mon,2015-11-09T09:05:46,450500
34,2015,Nov,9,10,53,25,4,Mon,2015-11-09T10:53:25,455800
35,2015,Nov,9,11,45,52,4,Mon,2015-11-09T11:45:52,530000
36,2015,Nov,9,12,50,42,4,Mon,2015-11-09T12:50:42,492900
37,2015,Nov,9,13,40,0,4,Mon,2015-11-09T13:40:00,477000
38,2015,Nov,9,14,39,31,4,Mon,2015-11-09T14:39:31,487600
39,2015,Nov,9,15,52,55,4,Mon,2015-11-09T15:52:55,439900
40,2015,Nov,9,16,21,15,4,Mon,2015-11-09T16:21:15,439900
41,2015,Nov,9,17,46,20,4,Mon,2015-11-09T17:46:20,349800
42,2015,Nov,9,18,45,55,4,Mon,2015-11-09T18:45:55,344500
43,2015,Nov,9,19,4,12,4,Mon,2015-11-09T19:04:12,323300
44,2015,Nov,9,20,58,36,4,Mon,2015-11-09T20:58:36,381600
45,2015,Nov,9,21,14,15,4,Mon,2015-11-09T21:14:15,360400
46,2015,Nov,9,22,51,9,4,Mon,2015-11-09T22:51:09,291500
47,2015,Nov,9,23,51,34,4,Mon,2015-11-09T23:51:34,265000
48,2015,Nov,10,0,28,5,4,Tue,2015-11-10T00:28:05,135945
49,2015,Nov,10,1,5,20,4,Tue,2015-11-10T01:05:20,96672
50,2015,Nov,10,2,56,32,4,Tue,2015-11-10T02:56:32,102714
51,2015,Nov,10,3,59,31,4,Tue,2015-11-10T03:59:31,102714
52,2015,Nov,10,4,6,19,4,Tue,2015-11-10T04:06:19,84588
53,2015,Nov,10,5,35,18,4,Tue,2015-11-10T05:35:18,108756
54,2015,Nov,10,6,45,7,4,Tue,2015-11-10T06:45:07,163134
55,2015,Nov,10,7,35,21,4,Tue,2015-11-10T07:35:21,202407
56,2015,Nov,10,8,52,59,4,Tue,2015-11-10T08:52:59,238659
57,2015,Nov,10,9,34,13,4,Tue,2015-11-10T09:34:13,256785
58,2015,Nov,10,10,51,38,4,Tue,2015-11-10T10:51:38,259806
59,2015,Nov,10,11,35,37,4,Tue,2015-11-10T11:35:37,302100
60,2015,Nov,10,12,18,28,4,Tue,2015-11-10T12:18:28,280953
61,2015,Nov,10,13,5,38,4,Tue,2015-11-10T13:05:38,271890
62,2015,Nov,10,14,51,24,4,Tue,2015-11-10T14:51:24,277932
63,2015,Nov,10,15,20,36,4,Tue,2015-11-10T15:20:36,250743
64,2015,Nov,10,16,15,18,4,Tue,2015-11-10T16:15:18,250743
65,2015,Nov,10,17,11,12,4,Tue,2015-11-10T17:11:12,199386
66,2015,Nov,10,18,52,11,4,Tue,2015-11-10T18:52:11,196365
67,2015,Nov,10,19,2,39,4,Tue,2015-11-10T19:02:39,184281
68,2015,Nov,10,20,42,16,4,Tue,2015-11-10T20:42:16,217512
69,2015,Nov,10,21,30,4,4,Tue,2015-11-10T21:30:04,205428
70,2015,Nov,10,22,5,43,4,Tue,2015-11-10T22:05:43,166155
71,2015,Nov,10,23,48,8,4,Tue,2015-11-10T23:48:08,151050
72,2015,Nov,11,0,56,9,4,Wed,2015-11-11T00:56:09,138330
73,2015,Nov,11,1,59,2,4,Wed,2015-11-11T01:59:02,98368
74,2015,Nov,11,2,53,5,4,Wed,2015-11-11T02:53:05,104516
75,2015,Nov,11,3,57,44,4,Wed,2015-11-11T03:57:44,104516
76,2015,Nov,11,4,59,53,4,Wed,2015-11-11T04:59:53,86072
77,2015,Nov,11,5,34,43,4,Wed,2015-11-11T05:34:43,110664
78,2015,Nov,11,6,25,53,4,Wed,2015-11-11T06:25:53,165996
79,2015,Nov,11,7,45,33,4,Wed,2015-11-11T07:45:33,205958
80,2015,Nov,11,8,17,33,4,Wed,2015-11-11T08:17:33,242846
81,2015,Nov,11,9,51,15,4,Wed,2015-11-11T09:51:15,261290
82,2015,Nov,11,10,54,13,4,Wed,2015-11-11T10:54:13,264364
83,2015,Nov,11,11,57,43,4,Wed,2015-11-11T11:57:43,307400
84,2015,Nov,11,12,37,52,4,Wed,2015-11-11T12:37:52,285882
85,2015,Nov,11,13,26,37,4,Wed,2015-11-11T13:26:37,276660
86,2015,Nov,11,14,17,28,4,Wed,2015-11-11T14:17:28,282808
87,2015,Nov,11,15,31,42,4,Wed,2015-11-11T15:31:42,255142
88,2015,Nov,11,16,41,44,4,Wed,2015-11-11T16:41:44,255142
89,2015,Nov,11,17,58,50,4,Wed,2015-11-11T17:58:50,202884
90,2015,Nov,11,18,22,5,4,Wed,2015-11-11T18:22:05,199810
91,2015,Nov,11,19,20,39,4,Wed,2015-11-11T19:20:39,187514
92,2015,Nov,11,20,7,31,4,Wed,2015-11-11T20:07:31,221328
93,2015,Nov,11,21,37,40,4,Wed,2015-11-11T21:37:40,209032
94,2015,Nov,11,22,21,54,4,Wed,2015-11-11T22:21:54,169070
95,2015,Nov,11,23,12,15,4,Wed,2015-11-11T23:12:15,153700
96,2015,Nov,12,0,1,46,4,Thu,2015-11-12T00:01:46,146025
