DATE,U12AVS
1994-01-01,3641
1994-02-01,3966
1994-03-01,4417
1994-04-01,4367
1994-05-01,4821
1994-06-01,5190
1994-07-01,4638
1994-08-01,4904
1994-09-01,4528
1994-10-01,4383
1994-11-01,4339
1994-12-01,4327
1995-01-01,3856
1995-02-01,4072
1995-03-01,4563
1995-04-01,4561
1995-05-01,4984
1995-06-01,5316
1995-07-01,4843
1995-08-01,5383
1995-09-01,4889
1995-10-01,4681
1995-11-01,4466
1995-12-01,4463
1996-01-01,4217
1996-02-01,4322
1996-03-01,4779
1996-04-01,4988
1996-05-01,5383
1996-06-01,5591
1996-07-01,5322
1996-08-01,5404
1996-09-01,5106
1996-10-01,4871
1996-11-01,4977
1996-12-01,4706
1997-01-01,4193
1997-02-01,4460
1997-03-01,4956
1997-04-01,5022
1997-05-01,5408
1997-06-01,5565
1997-07-01,5360
1997-08-01,5490
1997-09-01,5286
1997-10-01,5257
1997-11-01,5002
1997-12-01,4897
1998-01-01,4577
1998-02-01,4764
1998-03-01,5052
1998-04-01,5251
1998-05-01,5558
1998-06-01,5931
1998-07-01,5476
1998-08-01,5603
1998-09-01,5425
1998-10-01,5177
1998-11-01,4792
1998-12-01,4776
1999-01-01,4450
1999-02-01,4659
1999-03-01,5043
1999-04-01,5233
1999-05-01,5423
1999-06-01,5814
1999-07-01,5339
1999-08-01,5474
1999-09-01,5278
1999-10-01,5184
1999-11-01,4975
1999-12-01,4751
2000-01-01,4600
2000-02-01,4718
2000-03-01,5218
2000-04-01,5336
2000-05-01,5665
2000-06-01,5900
2000-07-01,5330
2000-08-01,5626
2000-09-01,5512
2000-10-01,5293
2000-11-01,5143
2000-12-01,4842
2001-01-01,4639
2001-02-01,5005
2001-03-01,5356
2001-04-01,5333
2001-05-01,6057
2001-06-01,5868
2001-07-01,5727
2001-08-01,6161
2001-09-01,5527
2001-10-01,5465
2001-11-01,5377
2001-12-01,5173
2002-01-01,4624
2002-02-01,4913
2002-03-01,5389
2002-04-01,5489
2002-05-01,6032
2002-06-01,5823
2002-07-01,5757
2002-08-01,5964
2002-09-01,5562
2002-10-01,5529
2002-11-01,5379
2002-12-01,5382
2003-01-01,4928
2003-02-01,5183
2003-03-01,5721
2003-04-01,5788
2003-05-01,6396
2003-06-01,6353
2003-07-01,6120
2003-08-01,6207
2003-09-01,6034
2003-10-01,6008
2003-11-01,5649
2003-12-01,5695
2004-01-01,5419
2004-02-01,5424
2004-03-01,6123
2004-04-01,6111
2004-05-01,6834
2004-06-01,6739
2004-07-01,6461
2004-08-01,6779
2004-09-01,6527
2004-10-01,6302
2004-11-01,6153
2004-12-01,6026
2005-01-01,5435
2005-02-01,5774
2005-03-01,6264
2005-04-01,6675
2005-05-01,7357
2005-06-01,7463
2005-07-01,7310
2005-08-01,7472
2005-09-01,7029
2005-10-01,6942
2005-11-01,6880
2005-12-01,6781
2006-01-01,5997
2006-02-01,6226
2006-03-01,6830
2006-04-01,6649
2006-05-01,7706
2006-06-01,7492
2006-07-01,6853
2006-08-01,7408
2006-09-01,6767
2006-10-01,6776
2006-11-01,7082
2006-12-01,6657
2007-01-01,6090
2007-02-01,6428
2007-03-01,7166
2007-04-01,7080
2007-05-01,8341
2007-06-01,7903
2007-07-01,7383
2007-08-01,8132
2007-09-01,7270
2007-10-01,7662
2007-11-01,7537
2007-12-01,6928
2008-01-01,6397
2008-02-01,6418
2008-03-01,7088
2008-04-01,6976
2008-05-01,8057.0
2008-06-01,7586
2008-07-01,7405
2008-08-01,7754
2008-09-01,7349
2008-10-01,7534
2008-11-01,7597.0
2008-12-01,7246.0
2009-01-01,6878.0
2009-02-01,6950.0
2009-03-01,7546.0
2009-04-01,7485
2009-05-01,8241.0
2009-06-01,8099.0
2009-07-01,7628.0
2009-08-01,8095
2009-09-01,7417
2009-10-01,7667.0
2009-11-01,7626.0
2009-12-01,7178.0
2010-01-01,6405.0
2010-02-01,6407.0
2010-03-01,7451.0
2010-04-01,7381.0
2010-05-01,8036.0
2010-06-01,7809.0
2010-07-01,7807.0
2010-08-01,8385
2010-09-01,7842.0
2010-10-01,7808.0
2010-11-01,7967.0
2010-12-01,7458.0
2011-01-01,6741.0
2011-02-01,6762.0
2011-03-01,7903.0
2011-04-01,7776.0
2011-05-01,8534.0
2011-06-01,8636.0
2011-07-01,7669.0
2011-08-01,8218.0
2011-09-01,8015.0
2011-10-01,7855.0
2011-11-01,8157.0
2011-12-01,8326.0
2012-01-01,7081
2012-02-01,7657
2012-03-01,8390
2012-04-01,8475
2012-05-01,9424
2012-06-01,9145
2012-07-01,8615
2012-08-01,9080
2012-09-01,8474
2012-10-01,8480
2012-11-01,8585
2012-12-01,8645
2013-01-01,7492
2013-02-01,7792
2013-03-01,8693
2013-04-01,8803
2013-05-01,9843
2013-06-01,9602
2013-07-01,9212
2013-08-01,9379
2013-09-01,9473
2013-10-01,9023
2013-11-01,9014
2013-12-01,8580
2014-01-01,7767
2014-02-01,7999
2014-03-01,8997
2014-04-01,8990
2014-05-01,9874
2014-06-01,9798
2014-07-01,9240
2014-08-01,9347
2014-09-01,9524
2014-10-01,9190
2014-11-01,9014
2014-12-01,9193
2015-01-01,8094
2015-02-01,8340
2015-03-01,9659
2015-04-01,9556
2015-05-01,10166
2015-06-01,10250
2015-07-01,9693
2015-08-01,9882
2015-09-01,10044
2015-10-01,9481
2015-11-01,9387
2015-12-01,9174
