"price","date"
255.2,1960-01-01
259.7,1960-02-01
249.3,1960-03-01
258,1960-04-01
244.3,1960-05-01
246.8,1960-06-01
250.6,1960-07-01
241.3,1960-08-01
231,1960-09-01
218.7,1960-10-01
222.8,1960-11-01
227.5,1960-12-01
216.6,1961-01-01
220.1,1961-02-01
221.7,1961-03-01
225.6,1961-04-01
238.6,1961-05-01
232.8,1961-06-01
226.1,1961-07-01
227.2,1961-08-01
225.8,1961-09-01
225,1961-10-01
225.7,1961-11-01
226.3,1961-12-01
226.8,1962-01-01
231.3,1962-02-01
231.1,1962-03-01
230.6,1962-04-01
230.5,1962-05-01
230.4,1962-06-01
230.4,1962-07-01
230.4,1962-08-01
230.4,1962-09-01
230.6,1962-10-01
230.4,1962-11-01
230.5,1962-12-01
230.6,1963-01-01
230.6,1963-02-01
230.6,1963-03-01
230.6,1963-04-01
230.6,1963-05-01
230.6,1963-06-01
230.6,1963-07-01
230.6,1963-08-01
230.6,1963-09-01
230.6,1963-10-01
230.6,1963-11-01
232.2,1963-12-01
234.2,1964-01-01
247.8,1964-02-01
266.1,1964-03-01
307.7,1964-04-01
295.8,1964-05-01
288.8,1964-06-01
305.4,1964-07-01
356.9,1964-08-01
415,1964-09-01
485.1,1964-10-01
500.1,1964-11-01
453.3,1964-12-01
356.7,1965-01-01
419.2,1965-02-01
440.6,1965-03-01
480.5,1965-04-01
490.8,1965-05-01
466.1,1965-06-01
404,1965-07-01
431.6,1965-08-01
473.5,1965-09-01
500.1,1965-10-01
523.8,1965-11-01
541.4,1965-12-01
599,1966-01-01
668.7,1966-02-01
668.7,1966-03-01
679.9,1966-04-01
592.8,1966-05-01
604.8,1966-06-01
559.5,1966-07-01
426.4,1966-08-01
402.4,1966-09-01
454.9,1966-10-01
464.4,1966-11-01
433.4,1966-12-01
443.7,1967-01-01
435.4,1967-02-01
391.8,1967-03-01
354.9,1967-04-01
369.5,1967-05-01
362.3,1967-06-01
355.9,1967-07-01
372.7,1967-08-01
378.3,1967-09-01
406.3,1967-10-01
515.3,1967-11-01
551.3,1967-12-01
586.4,1968-01-01
715.8,1968-02-01
708,1968-03-01
522.4,1968-04-01
456.5,1968-05-01
473,1968-06-01
439.9,1968-07-01
439.9,1968-08-01
462.3,1968-09-01
449.7,1968-10-01
458,1968-11-01
493.4,1968-12-01
523.8,1969-01-01
535,1969-02-01
532.4,1969-03-01
578.1,1969-04-01
579.6,1969-05-01
617,1969-06-01
605.4,1969-07-01
669,1969-08-01
657.6,1969-09-01
647.4,1969-10-01
679.4,1969-11-01
707.8,1969-12-01
677.2,1970-01-01
690.1,1970-02-01
730.4,1970-03-01
725.2,1970-04-01
665.9,1970-05-01
607,1970-06-01
567.8,1970-07-01
527.5,1970-08-01
519.3,1970-09-01
475.8,1970-10-01
451.9,1970-11-01
435.4,1970-12-01
420.7,1971-01-01
424.9,1971-02-01
476.5,1971-03-01
521.2,1971-04-01
464.1,1971-05-01
447.2,1971-06-01
464.4,1971-07-01
451,1971-08-01
427.5,1971-09-01
