"y10","m3"
4.016666667,2.723333333
3.873333333,2.716666667
3.99,2.84
3.903333333,2.813333333
3.893333333,2.906666667
3.963333333,2.94
4.033333333,3.293333333
4.12,3.496666667
4.18,3.53
4.2,3.476666667
4.193333333,3.496666667
4.173333333,3.683333333
4.203333333,3.89
4.206666667,3.873333333
4.246666667,3.866666667
4.473333333,4.166666667
4.77,4.61
4.78,4.586666667
5.14,5.043333333
5.003333333,5.21
4.583333333,4.513333333
4.82,3.66
5.246666667,4.3
5.643333333,4.753333333
5.61,5.05
5.743333333,5.52
5.46,5.196666667
5.77,5.586666667
6.176666667,6.093333333
6.353333333,6.196666667
6.856666667,7.023333333
7.296666667,7.353333333
7.366666667,7.21
7.713333333,6.676666667
7.46,6.326666667
6.853333333,5.353333333
6.016666667,3.84
6.246666667,4.25
6.483333333,5.01
5.89,4.23
6.033333333,3.436666667
6.143333333,3.77
6.29,4.22
6.373333333,4.863333333
6.603333333,5.7
6.806666667,6.603333333
7.206666667,8.323333333
6.753333333,7.5
7.053333333,7.616666667
7.543333333,8.153333333
7.963333333,8.19
7.67,7.36
7.54,5.75
8.05,5.393333333
8.296666667,6.33
8.063333333,5.626666667
7.753333333,4.916666667
7.773333333,5.156666667
7.73,5.15
7.19,4.673333333
7.353333333,4.63
7.37,4.84
7.356666667,5.496666667
7.596666667,6.11
8.01,6.393333333
8.32,6.476666667
8.49,7.313333333
8.82,8.57
9.106666667,9.383333333
9.113333333,9.376666667
9.103333333,9.673333333
10.44666667,11.84333333
11.98666667,13.35333333
10.47666667,9.616666667
10.95333333,9.153333333
12.42333333,13.61333333
12.96,14.39
13.75,14.90666667
14.84666667,15.05333333
14.08666667,11.75
14.29333333,12.81333333
13.93,12.42
13.11666667,9.316666667
10.66666667,7.906666667
10.56333333,8.106666667
10.54333333,8.396666667
11.62666667,9.14
11.68666667,8.8
11.94333333,9.17
13.2,9.796666667
12.86666667,10.32
11.74333333,8.803333333
11.58333333,8.183333333
10.81333333,7.46
10.33666667,7.106666667
9.76,7.166666667
8.556666667,6.896666667
7.603333333,6.14
7.306666667,5.523333333
7.263333333,5.353333333
7.193333333,5.536666667
8.343333333,5.656666667
8.876666667,6.043333333
9.123333333,5.863333333
8.416666667,5.723333333
8.91,6.21
9.1,7.01
8.956666667,7.726666667
9.206666667,8.54
8.773333333,8.41
8.106666667,7.843333333
7.906666667,7.653333333
8.423333333,7.76
8.676666667,7.746666667
8.703333333,7.476666667
8.396666667,6.99
8.016666667,6.023333333
8.13,5.56
7.94,5.376666667
7.346666667,4.54
7.303333333,3.893333333
7.376666667,3.68
6.616666667,3.083333333
6.743333333,3.07
6.28,2.96
5.99,2.966666667
5.616666667,3.003333333
5.606666667,3.06
6.066666667,3.243333333
7.083333333,3.986666667
7.333333333,4.476666667
7.836666667,5.28
7.483333333,5.736666667
6.62,5.596666667
6.323333333,5.366666667
5.893333333,5.26
5.91,4.93
6.72,5.02
6.78,5.096666667
6.343333333,4.976666667
6.563333333,5.06
6.696666667,5.046666667
6.243333333,5.046666667
5.906666667,5.09
5.586666667,5.053333333
5.596666667,4.976666667
5.203333333,4.823333333
4.67,4.253333333
4.983333333,4.406666667
5.54,4.453333333
5.883333333,4.65
6.14,5.043333333
6.48,5.52
6.176666667,5.713333333
5.893333333,6.016666667
5.566666667,6.016666667
5.05,4.816666667
5.27,3.66
4.98,3.17
4.77,1.906666667
5.076666667,1.723333333
5.1,1.716666667
4.26,1.643333333
4.006666667,1.333333333
3.92,1.156666667
3.62,1.04
4.233333333,0.93
4.286666667,0.916666667
4.02,0.916666667
4.6,1.076666667
4.303333333,1.486666667
4.173333333,2.006666667
4.296666667,2.536666667
4.16,2.863333333
4.213333333,3.36
4.49,3.826666667
4.57,4.393333333
5.07,4.703333333
4.896666667,4.906666667
4.63,4.903333333
4.68,4.983333333
4.846666667,4.736666667
4.73,4.303333333
4.26,3.39
3.663333333,2.043333333
3.886666667,1.626666667
3.863333333,1.493333333
3.253333333,0.296666667
2.736666667,0.213333333
3.313333333,0.173333333
3.516666667,0.156666667
3.46,0.056666667
3.716666667,0.106666667
3.49,0.146666667
2.786666667,0.156666667
2.863333333,0.136666667
3.46,0.126666667
3.21,0.046666667
2.426666667,0.023333333
2.046666667,0.013333333
2.036666667,0.066666667
1.823333333,0.086666667
1.643333333,0.103333333
1.706666667,0.086666667
